size,optimized,unoptimized
250000,134.777461052,148.530170202
250000,134.777461052,148.005124092
250000,135.027637959,149.400009871
250000,135.027637959,149.513126135
250000,135.027637959,149.518409967
250000,135.027637959,149.337968826
250000,135.027637959,149.313779116
250000,135.027637959,148.172077179
250000,135.027637959,147.891582012
250000,135.027637959,148.228101015
250000,135.027637959,148.530170202
250000,135.027637959,148.005124092
250000,134.734135866,149.400009871
250000,134.734135866,149.513126135
250000,134.734135866,149.518409967
250000,134.734135866,149.337968826
250000,134.734135866,149.313779116
250000,134.734135866,148.172077179
250000,134.734135866,147.891582012
250000,134.734135866,148.228101015
250000,134.734135866,148.530170202
250000,134.734135866,148.005124092

